time_s,path_x_m,path_y_m,path_z_m,alpha_rad,beta_rad,gamma_rad,alpha_dot,beta_dot,gamma_dot,potential,min_hard_proximity
6.9225,0.69225,0.0,0.0,0.02658257226424072,-0.4117201717562836,0.21000305038487352,-0.018341218781234542,-0.07124271545566273,0.026751529207050075,0.06754568717711353,1.1315133530037988
6.955,0.6955,0.0,0.0,0.025985187459542262,-0.4140087869979422,0.21086034322192743,-0.01842073372922961,-0.06959943184640585,0.026006942148909005,0.06806353605712327,1.1246754955785263
6.987500000000001,0.6987500000000001,0.0,0.0,0.025385236785881938,-0.41624441127453576,0.21169362987883172,-0.01849912120092438,-0.06798166705194722,0.0252741941995594,0.06857158022701539,1.1175598094561288
7.0200000000000005,0.7020000000000001,0.0,0.0,0.02478275661594106,-0.4184278675527759,0.21250329206067847,-0.01857639777351909,-0.06638902859206307,0.02455309718580353,0.06906990407028853,1.11017124686231
7.0525,0.70525,0.0,0.0,0.024177782789126048,-0.42055996614499175,0.2132897054054457,-0.018652579687634344,-0.0648211301983751,0.023843465912031406,0.06955859124169014,1.1025147229559729
7.085,0.7085,0.0,0.0,0.023570350622419196,-0.42264150490933156,0.21405323957999886,-0.018727682852724626,-0.06327759171106451,0.023145118112960106,0.07003772466634366,1.0945951177106916
7.117500000000001,0.7117500000000001,0.0,0.0,0.02296049492105437,-0.42467326944663675,0.21479425837456884,-0.018801722852433318,-0.06175803897737275,0.022457874407133108,0.07050738653937143,1.0864172778479415
7.15,0.7150000000000001,0.0,0.0,0.022348249989019714,-0.4266560332940454,0.21551311979573073,-0.01887471494988835,-0.06026210375184947,0.02178155825116823,0.0709676583260065,1.0779860188238928
7.1825,0.71825,0.0,0.0,0.021733649639389025,-0.4285905581153828,0.2162101761579079,-0.01894667409294098,-0.05878942359833196,0.021115995894737425,0.07141862076218762,1.0693061268718074
7.215,0.7215,0.0,0.0,0.02111672720448395,-0.43047759388839313,0.21688577417342436,-0.01901761491934782,-0.05733964179361441,0.020461016336272488,0.07186035385562964,1.0603823611022212
7.2475000000000005,0.7247500000000001,0.0,0.0,0.02049751554586856,-0.4323178790888677,0.2175402550411293,-0.019087551761897827,-0.05591240723278703,0.01981645127938105,0.0722929368873633,1.0512194556632934
7.28,0.7280000000000001,0.0,0.0,0.019876047064178275,-0.43411214087172373,0.21817395453361665,-0.019156498653486526,-0.0545073743362148,0.019182135089961905,0.0727164484137361,1.0418221219639252
7.3125,0.7312500000000001,0.0,0.0,0.019252353708784597,-0.4358610952490861,0.21878720308306193,-0.019224469332134925,-0.05312420295812591,0.018557904754007985,0.07313096626886643,1.0321950509623974
7.345,0.7345,0.0,0.0,0.018626466987297717,-0.43756544726542385,0.2193803258656988,-0.0192914772459581,-0.05176255829678531,0.01794359983608686,0.07353656756754265,1.0223429155235237
7.3774999999999995,0.73775,0.0,0.0,0.01799841797490842,-0.43922589116979277,0.21995364288495714,-0.019357535558081552,-0.050422110806225544,0.017339062438487353,0.07393332870855825,1.0122703728474824
7.41,0.7410000000000001,0.0,0.0,0.01736823732357099,-0.4408431105852344,0.2205074690532839,-0.019422657151508597,-0.04910253610950866,0.016744137161018524,0.07432132537847443,1.0019820669736905
7.4425,0.7442500000000001,0.0,0.0,0.016735956460806334,-0.4424177839769927,0.22104211934112325,-0.019486652679178918,-0.04780440558262467,0.01615952553544693,0.0747014649562463,0.9914826685154577
7.475,0.7475,0.0,0.0,0.016101635967087843,-0.44395070773265216,0.2215580275607821,-0.019547757994888035,-0.0465350273392589,0.01559246734328577,0.07508102186105574,0.9807777433949986
7.507499999999999,0.75075,0.0,0.0,0.015465412640090472,-0.4454429879766992,0.2220559363350474,-0.019603266529034324,-0.045305119113862515,0.01505376060295736,0.07547130681882243,0.9698751247103707
7.54,0.7540000000000001,0.0,0.0,0.014827517653486728,-0.44689609215292475,0.22253695763505824,-0.019650079189965298,-0.044126168519992875,0.01455531640401605,0.07588537079522313,0.9587853201032033
7.5725,0.7572500000000001,0.0,0.0,0.014188289538289831,-0.44831187306439296,0.22300260883886602,-0.0196846842033639,-0.0430104006552437,0.014110178836826937,0.07633802756748646,0.9475217337083287
7.6049999999999995,0.7605000000000001,0.0,0.0,0.013548187992014479,-0.44969259257344624,0.22345485015813674,-0.019703133338715432,-0.041970758231224536,0.013732559297574696,0.07684582617541819,0.9361008927722659
7.637499999999999,0.76375,0.0,0.0,0.012907808387010687,-0.45104094430469155,0.22389612287033006,-0.01970102296884857,-0.041020859347042776,0.013437850807915621,0.0774269453582334,0.9245426746545113
7.669999999999999,0.767,0.0,0.0,0.01226789678837244,-0.4523600745493484,0.2243293876095855,-0.01967348202979166,-0.040174928208997346,0.013242616201902946,0.07810099072926892,0.912870528731274
